Date,Open,High,Low,Close,Volume,Adj Close
2015-02-17,60.580002,62.41,60.299999,62.369999,1986600,62.369999
2015-02-09,56.830002,60.759998,56.82,60.669998,1524500,60.669998
2015-02-02,54.34,57.75,53.02,57.07,1816500,57.07
2015-01-26,58.279999,58.509998,53.889999,54.009998,1517700,54.009998
2015-01-20,57.27,58.849998,56.330002,58.189999,1414000,58.189999
2015-01-12,58.34,58.990002,55.509998,56.849998,1312300,56.849998
2015-01-05,59.150002,59.439999,57.099998,58.27,1587500,58.27
2014-12-29,60.830002,61.23,58.950001,59.529999,1168800,59.529999
2014-12-22,60.02,61.509998,59.700001,61.029999,732600,61.029999
2014-12-15,59.119999,60.34,56.119999,59.900002,2302400,59.900002
2014-12-08,60.27,61.080002,58.450001,58.880001,1277400,58.880001
2014-12-01,61.720001,61.970001,60.220001,60.900002,1411100,60.900002
2014-11-24,61.68,62.490002,60.799999,62.00,2309700,62.00
2014-11-17,59.52,63.00,58.290001,61.950001,3383800,61.950001
2014-11-10,59.32,59.889999,58.830002,59.66,1663700,59.66
2014-11-03,57.77,59.540001,57.369999,59.419998,1990700,59.419998
2014-10-27,54.25,58.740002,54.07,57.540001,1702400,57.540001
2014-10-20,50.740002,54.490002,50.150002,54.450001,2331600,54.450001
2014-10-13,53.450001,53.68,48.380001,50.790001,3987300,50.790001
2014-10-06,58.380001,58.68,53.57,53.720001,3638000,53.720001
2014-09-29,53.68,58.75,53.00,58.119999,5560200,58.119999
2014-09-22,55.240002,55.720001,53.799999,54.279999,3425600,54.279999
2014-09-15,52.990002,55.98,52.990002,55.610001,3710600,55.610001
2014-09-08,54.169998,54.93,52.689999,53.540001,1816300,53.540001
2014-09-02,53.959999,55.25,52.880001,54.18,1992600,54.18
2014-08-25,53.700001,54.59,53.200001,53.639999,1437400,53.639999
2014-08-18,53.040001,54.029999,52.880001,53.459999,2840500,53.459999
2014-08-11,54.169998,58.529999,51.880001,52.66,4508100,52.66
2014-08-04,53.369999,54.959999,53.299999,53.91,1760400,53.91
