id,body,created_at,symbol
52272219,$AAPL sell this hot potato Quick before wall Street does a hit job on retail,2016-04-04T19:22:46Z,APPL
52272059,$AAPL When will #Apple will sell its billionth iPhone? It may be sooner than you think http://stkw.it/g4ol,2016-04-04T19:21:01Z,APPL
52271935,$AAPL: The Costs for the iPhone SE Have Been Revealed - http://stkw.it/b4Ud,2016-04-04T19:19:40Z,APPL
52271861,$aapl http://stkw.it/w3ud pump it up!,2016-04-04T19:19:04Z,APPL
52271704,"Apple iPhone SE Responds Poorly to Bend, Drop, and Water Tests http://stkw.it/e4WN $AAPL",2016-04-04T19:17:27Z,APPL
52271491,$AAPL Doing nothing but killing the option cost all day.,2016-04-04T19:14:52Z,APPL
52271454,$AAPL Apple is a 5 star  dividend  stock with a 1.9% yield: http://stkw.it/u3tp,2016-04-04T19:14:30Z,APPL
52271428,$AAPL if you BTFD on every dip over the next 12-18 months. You will be handsomely rewarded. Best Company/Management/Products in the business,2016-04-04T19:14:13Z,APPL
52271308,$AAPL any numbers out for recent product sales yet?,2016-04-04T19:13:00Z,APPL
52271260,March Quarter Unit Sales of #Apple iPhone Will Clock in at 50 Million: Brean Capital http://stkw.it/d4Xk $AAPL,2016-04-04T19:12:22Z,APPL
52271099,Buy $AAPL Before It&#39;s Too Late! - http://stkw.it/a4aP,2016-04-04T19:10:25Z,APPL
52275758,$AAPL,2016-04-04T19:57:46Z,APPL
52275752,$AAPL Give or take a few cents.,2016-04-04T19:57:42Z,APPL
52275694,$AAPL if market not gonna crash like Jan.guess we will be able to see $130 before iPhone 7 announcement,2016-04-04T19:57:21Z,APPL
52275651,$AAPL shooting star !!,2016-04-04T19:56:54Z,APPL
52275617,"$AAPL If this pattern holds, we should end the day approximately 1.00 higher than Friday&#39;s close.",2016-04-04T19:56:29Z,APPL
52275538,$AAPL,2016-04-04T19:55:43Z,APPL
52275502,$AAPL It&#39;s better that the stock is moving up $1-$2 at a time each day rather than all at once leading up to ER.,2016-04-04T19:55:21Z,APPL
52275496,$TSLA $AAPL $SPY $SPX,2016-04-04T19:55:19Z,APPL
52275495,Biggest stock in the world yet something as simple as trendline works. EMH academia must love this. $AAPL,2016-04-04T19:55:18Z,APPL
52275438,@Afortyyearold $tsla is like $aapl before iPhone was launched. It will be a big winner over next 10 years. :) $spy $SPX,2016-04-04T19:54:49Z,APPL
52275271,$AAPL everyone knows there&#39;s a run up before ER,2016-04-04T19:53:11Z,APPL
52274986,"$AAPL oodles of gaps below, not long here :/",2016-04-04T19:50:18Z,APPL
52274918,$AAPL :-). There&#39;s hope for you yet.  Go fanboys (&amp; girls),2016-04-04T19:49:44Z,APPL
52274505,$AAPL 113$ or 130$ is End of the world?,2016-04-04T19:45:58Z,APPL
52274331,$AAPL 105 end of week...then back up. Same old routine,2016-04-04T19:44:15Z,APPL
52274314,$AAPL The original message chart is over a month old.  You sticking with that?  You expect a $22 dip?  You hoping for that?  Wha?,2016-04-04T19:44:06Z,APPL
52274249,Rode the wave on $AAPL this morning. See what she does tomorrow.,2016-04-04T19:43:32Z,APPL
52274207,$AAPL $SPY $FB $TSLA $TWTR $GILD $EVERYTHING http://stkw.it/u3uL,2016-04-04T19:43:15Z,APPL
52274127,$AAPL shorted Friday at 109.10. Mental stop loss at 112.90. Objective at least $100 but possibly $95.,2016-04-04T19:42:22Z,APPL
52274108,"$AAPL it&#39;ll probably gap up $7 tomorrow on Deutsche bank upgrades, cus why not? What&#39;s a back test? Let&#39;s just keep going up its fine.",2016-04-04T19:42:13Z,APPL
52274092,$AAPL  reaches the 200-day MA. Time to rest?,2016-04-04T19:42:05Z,APPL
52273795,"$AAPL bot that dip , feeling good , going to $130 tomorrow probably, Bulls are chasing the hell out of this",2016-04-04T19:39:02Z,APPL
52273673,$SUNE This is the most bullish thing Ive seen since $AAPL,2016-04-04T19:37:45Z,APPL
52273651,"$NFLX $AAPL $GILD $TSLA $FB $AVXL $AMZN Wonder how many ppl marketwatch lost because of their crappy new interface, it sucks!",2016-04-04T19:37:31Z,APPL
52273538,$AAPL Great trade in our trading room !! and Nice team work to nail this with @Deltaninety,2016-04-04T19:36:25Z,APPL
52273264,"$AAPL Bullish chart, but could be setting up for a pullback here.",2016-04-04T19:33:33Z,APPL
52273160,"$AAPL Glad AAPL is green, but market is really kind of sucking today. I really don&#39;t know why. (?)",2016-04-04T19:32:37Z,APPL
52273121,"Sold $AAPL last week and it is now higher, but moved money into $AAN which is up even more. Still holding.",2016-04-04T19:32:12Z,APPL
52272885,"$AAPL Green on the Red Sea, tomorrow will be brighter. PT 120!!!",2016-04-04T19:29:53Z,APPL
52272848,@River_Cooter this wont work Read my tweet it will help you Now I gotta go consider this tweet as your luck $AAPL bye !,2016-04-04T19:29:25Z,APPL
52277269,Very good day w/ trading #stocks Apple &amp; Twitter. Have a great day. Back to politics ... http://stkw.it/b4Vp $AAPL $TWTR $SPX $SPY $QQQ,2016-04-04T20:11:05Z,APPL
52277210,$AAPL AH is going to spike.,2016-04-04T20:10:30Z,APPL
52277140,"$AAPL People accuse Cook of killing Apple, but if you compare Apple&#39;s profits, Cook is actually doing much better than SJ.",2016-04-04T20:09:53Z,APPL
52276991,"$AAPL That was a good run, I just gonna cash out later this week, this fall it&#39;s gonna go to $130",2016-04-04T20:08:06Z,APPL
52276977,$AAPL Normal profit taking.   it has been up several days in a row.  buy some put protection just in case.  PT 130,2016-04-04T20:07:55Z,APPL
52276900,$aapl failed at 200dma,2016-04-04T20:06:57Z,APPL
52276795,"RECAP 4/4 Unusual Puts (2/2):
$AGO May 22 P
$MAS May 30 P
$EWZ Jan 24 P
$AAPL Jan 80 P
$MDT Apr 70 P",2016-04-04T20:06:02Z,APPL
52276781,"RECAP 4/4 Unusual Puts (1/2):
$PSX May 82.5 P
$AAPL May 90 P
$JBLU Apr 20 P
$DEO Apr 105 P
$WDC Jul 35 P
$STX Sep 20 P",2016-04-04T20:05:55Z,APPL
52276680,I added few $AAPL April 29 109/106 Put Spreads and selling an extra May 100 put for small credit today for clients not involved in the name,2016-04-04T20:05:04Z,APPL
52276637,$AAPL Great job guys..awesome trade,2016-04-04T20:04:42Z,APPL
52276615,$AAPL rip down tomorrow when fed talks,2016-04-04T20:04:31Z,APPL
52276483,$AAPL its ok 1 $ per day ...n market crash please,2016-04-04T20:03:28Z,APPL
52276444,$AAPL  $111.11 will now be resistance if market shows weakness Tuesday,2016-04-04T20:03:06Z,APPL
52276350,$AAPL tomorrow is going to be an amazing day I believe.,2016-04-04T20:02:23Z,APPL
52276330,$AAPL +1 Apple % a day keeps the doctor away.,2016-04-04T20:02:13Z,APPL
52276253,"$AAPL super bullish close, $145 tomorrow, like $144ish , iPhone SE is the next big thing seems like, stock rallied 14 percent since Feb lows",2016-04-04T20:01:41Z,APPL
52276091,@keynesian @PrognosisStock @harryzimm2013 $TSLA builds cars...not REMOTELY close to the scale/time frame of mobile ownership $AAPL is unique,2016-04-04T20:00:38Z,APPL
52275977,Took some off $AAPL daytrade at $111.10 ...,2016-04-04T19:59:42Z,APPL
52275758,$AAPL,2016-04-04T19:57:46Z,APPL
52275752,$AAPL Give or take a few cents.,2016-04-04T19:57:42Z,APPL
52275694,$AAPL if market not gonna crash like Jan.guess we will be able to see $130 before iPhone 7 announcement,2016-04-04T19:57:21Z,APPL
52275651,$AAPL shooting star !!,2016-04-04T19:56:54Z,APPL
52275617,"$AAPL If this pattern holds, we should end the day approximately 1.00 higher than Friday&#39;s close.",2016-04-04T19:56:29Z,APPL
52275538,$AAPL,2016-04-04T19:55:43Z,APPL
52275502,$AAPL It&#39;s better that the stock is moving up $1-$2 at a time each day rather than all at once leading up to ER.,2016-04-04T19:55:21Z,APPL
52275496,$TSLA $AAPL $SPY $SPX,2016-04-04T19:55:19Z,APPL
52275495,Biggest stock in the world yet something as simple as trendline works. EMH academia must love this. $AAPL,2016-04-04T19:55:18Z,APPL
52275438,@Afortyyearold $tsla is like $aapl before iPhone was launched. It will be a big winner over next 10 years. :) $spy $SPX,2016-04-04T19:54:49Z,APPL
52275271,$AAPL everyone knows there&#39;s a run up before ER,2016-04-04T19:53:11Z,APPL
52274986,"$AAPL oodles of gaps below, not long here :/",2016-04-04T19:50:18Z,APPL
52278849,$AAPL $SPY US mutuals run into trouble http://stkw.it/c4cV @FT Market gyrations give active managers worst performance in two decades,2016-04-04T20:27:33Z,APPL
52278357,$AAPL Tim Cook should lower the price for iPhone SE. Refurbished phone is different than brand new phone.,2016-04-04T20:22:19Z,APPL
52278331,"just like i wasnt worried abt $aapl being in trbl at 92, i am not worried abt Saudi arabia running out of $. $CL_F",2016-04-04T20:21:59Z,APPL
52278214,"$AAPL about to get a lot more of your $. Avg user predicted to top $100 on AAPL Music etc by 2020, an 85% gain. http://stkw.it/i4m0",2016-04-04T20:20:39Z,APPL
52277651,$AAPL vol today was pretty good.,2016-04-04T20:14:39Z,APPL
52277269,Very good day w/ trading #stocks Apple &amp; Twitter. Have a great day. Back to politics ... http://stkw.it/b4Vp $AAPL $TWTR $SPX $SPY $QQQ,2016-04-04T20:11:05Z,APPL
52277210,$AAPL AH is going to spike.,2016-04-04T20:10:30Z,APPL
52277140,"$AAPL People accuse Cook of killing Apple, but if you compare Apple&#39;s profits, Cook is actually doing much better than SJ.",2016-04-04T20:09:53Z,APPL
52276991,"$AAPL That was a good run, I just gonna cash out later this week, this fall it&#39;s gonna go to $130",2016-04-04T20:08:06Z,APPL
52276977,$AAPL Normal profit taking.   it has been up several days in a row.  buy some put protection just in case.  PT 130,2016-04-04T20:07:55Z,APPL
52276900,$aapl failed at 200dma,2016-04-04T20:06:57Z,APPL
52276795,"RECAP 4/4 Unusual Puts (2/2):
$AGO May 22 P
$MAS May 30 P
$EWZ Jan 24 P
$AAPL Jan 80 P
$MDT Apr 70 P",2016-04-04T20:06:02Z,APPL
52276781,"RECAP 4/4 Unusual Puts (1/2):
$PSX May 82.5 P
$AAPL May 90 P
$JBLU Apr 20 P
$DEO Apr 105 P
$WDC Jul 35 P
$STX Sep 20 P",2016-04-04T20:05:55Z,APPL
52276680,I added few $AAPL April 29 109/106 Put Spreads and selling an extra May 100 put for small credit today for clients not involved in the name,2016-04-04T20:05:04Z,APPL
52276637,$AAPL Great job guys..awesome trade,2016-04-04T20:04:42Z,APPL
52276615,$AAPL rip down tomorrow when fed talks,2016-04-04T20:04:31Z,APPL
52276483,$AAPL its ok 1 $ per day ...n market crash please,2016-04-04T20:03:28Z,APPL
52276444,$AAPL  $111.11 will now be resistance if market shows weakness Tuesday,2016-04-04T20:03:06Z,APPL
52276350,$AAPL tomorrow is going to be an amazing day I believe.,2016-04-04T20:02:23Z,APPL
52276330,$AAPL +1 Apple % a day keeps the doctor away.,2016-04-04T20:02:13Z,APPL
