Symbol,Sector,Perf_5Year,SD_5Year,Beta_5Year,Beta_10Year
ACGL,Financials,19.00813,0.14015,0.496436038,0.508927534
MFA,Financials,10.07087,0.14448,0.496532752,0.426958852
VRSK,Industrials,19.70911,0.15521,0.49796083,
KOF,Consumer Staples,1.45807,0.2349,0.500678287,0.942343196
KO,Consumer Staples,9.38208,0.13456,0.503471849,0.560149301
MO,Consumer Staples,24.95427,0.16889,0.503767911,0.463236719
ARR,Financials,-3.91249,0.17457,0.503799178,
HWAY,Health Care,6.38531,0.52835,0.504378857,1.166188771
ENB,Energy,24.04186,0.19316,0.505281131,0.625197158
HRZN,Financials,6.21788,0.21653,0.505756114,
CRUS,Information Technology,14.31755,0.40622,0.506210137,0.672438361
HALL,Financials,7.08163,0.26678,0.506368545,0.94306811
CNOB,Financials,21.10397,0.188,0.507085061,0.384628764
CPB,Consumer Staples,11.19082,0.16909,0.507902854,0.335754989
DFT,Financials,12.28626,0.27049,0.509976271,
AWR,Utilities,20.58724,0.20049,0.512102212,0.466849885
CVA,Industrials,3.91948,0.20547,0.515186743,0.629280741
IMKTA,Consumer Staples,28.70338,0.30708,0.518010253,0.900672936
INCY,Health Care,50.58132,0.4407,0.518063371,1.838767473
MLVF,Financials,24.88747,0.24081,0.518538899,
BDGE,Financials,9.17052,0.21751,0.520425268,0.439396309
BHB,Financials,18.03368,0.14219,0.520439612,0.612001135
FCCY,Financials,14.9815,0.15584,0.521191959,0.796157752
NJR,Utilities,10.68062,0.18431,0.521582322,0.298430554
CFI,Consumer Discretionary,24.81933,0.25556,0.521595231,1.146714432
NKE,Consumer Discretionary,27.5172,0.20815,0.522112967,0.805106235
VIMC,Information Technology,31.65405,0.99694,0.524827536,
USM,Telecommunication Services,0.39784,0.22321,0.526128655,0.812905209
SJW,Utilities,6.65894,0.17983,0.526285084,0.585418331
CPK,Utilities,19.95852,0.19442,0.528311206,0.426109558
FORR,Information Technology,1.87602,0.21239,0.52853849,0.723085655
CMG,Consumer Discretionary,17.59098,0.31302,0.529090126,
DSKX,Consumer Staples,-4.69915,0.72219,0.529459028,
TLP,Energy,-1.09529,0.28216,0.529531112,0.554618617
AVA,Utilities,14.75637,0.16551,0.529978704,0.674428742
MSI,Information Technology,9.58334,0.19094,0.53061383,1.357341709
IBA,Consumer Staples,18.29595,0.21892,0.531493398,0.843557452
LANC,Consumer Staples,21.20263,0.17039,0.531978601,0.431785742
BAX,Health Care,4.74947,0.1755,0.532402775,0.488930592
SYY,Consumer Staples,11.09808,0.13867,0.532740858,0.671598486
AGII,Financials,21.80907,0.18106,0.533120785,0.710709622
EZCH,Information Technology,0.25138,0.3893,0.533178125,1.080767903
AWH,Financials,15.27835,0.1434,0.535892142,
TRNO,Financials,7.93119,0.19411,0.536293559,
TAC,Utilities,-22.21624,0.20762,0.536553338,0.868389773
CCU,Consumer Staples,2.89282,0.22735,0.537771908,0.583546113
AETI,Industrials,-0.36867,0.39357,0.53827667,0.854721772
HCN,Financials,11.90954,0.19944,0.538856079,0.779350291
SAR,Financials,19.10895,0.23283,0.539203802,
IDA,Utilities,16.7375,0.1668,0.54088129,0.488836808
K,Consumer Staples,10.45426,0.14791,0.543452442,0.472983144
BKEP,Energy,2.68117,0.22464,0.544023897,
CROX,Consumer Discretionary,-8.53441,0.39551,0.544770652,
HEI,Industrials,15.71081,0.24917,0.545191589,0.956716265
CERN,Health Care,22.05334,0.21626,0.545641635,0.867475036
CO,Health Care,9.35335,0.37585,0.547551262,
NAVG,Financials,11.77687,0.17237,0.548310879,0.271293022
GBDC,Financials,7.81753,0.13831,0.548608176,
PG,Consumer Staples,7.36437,0.13467,0.549590347,0.513290997
NWBI,Financials,11.99496,0.13643,0.551176786,0.684458314
MNRK,Financials,20.41682,0.199,0.552958082,0.572548892
CHU,Telecommunication Services,-0.34188,0.31163,0.553411019,0.747734005
LKQ,Consumer Discretionary,22.44538,0.2224,0.554057284,0.817227103
QDEL,Health Care,9.66635,0.33707,0.554949479,0.795933932
EQR,Financials,13.48977,0.16988,0.555583831,1.061766163
TJX,Consumer Discretionary,25.36375,0.15263,0.556176942,0.615793437
YORW,Utilities,11.24479,0.17303,0.557784142,0.508898138
RNR,Financials,13.85564,0.12947,0.560484811,0.536532686
OB,Financials,5.76988,0.1722,0.561283384,
ACY,Industrials,-11.71823,0.57246,0.561801605,0.721344107
PPS,Financials,15.05909,0.17721,0.562190114,1.230613991
VASC,Health Care,26.48034,0.25468,0.564710232,0.346677143
AHGP,Energy,-6.14993,0.2513,0.565857199,
BGS,Consumer Staples,29.54047,0.27536,0.566177184,
VTR,Financials,9.99555,0.19278,0.567751999,1.089704231
KRNY,Financials,15.09134,0.17854,0.568115072,0.587346007
IRET,Financials,4.65827,0.16804,0.569436433,0.428851275
HNP,Utilities,15.2477,0.28846,0.569662248,0.673919132
PAC,Industrials,27.73625,0.19799,0.570583535,
ERIE,Financials,12.29066,0.16435,0.570997245,0.689223774
CAKE,Consumer Discretionary,9.52441,0.18328,0.571182415,1.462169852
SBBX,Financials,21.10115,0.22407,0.571192814,0.693127118
SNH,Financials,-2.23161,0.17653,0.574293353,0.963805449
FSC,Financials,-1.44872,0.15818,0.574387962,
MRK,Health Care,13.31786,0.16621,0.575791402,0.681069116
ALOT,Information Technology,16.8206,0.19923,0.576235977,0.720237805
BMS,Materials,11.80562,0.16134,0.576578608,0.74137027
ANTM,Health Care,20.03819,0.22204,0.577256931,0.88551372
FLO,Consumer Staples,18.74054,0.24073,0.577490206,0.233726699
STR,Utilities,5.94351,0.17304,0.578798369,0.49826278
EFOI,Industrials,8.63084,1.17587,0.579198292,0.220023622
RSG,Industrials,12.56414,0.14106,0.581280456,0.801361713
ABAX,Health Care,15.48497,0.28122,0.582343129,1.013323459
SEP,Energy,9.84921,0.23544,0.586021584,
HCSG,Industrials,22.02789,0.1811,0.587872667,0.618611766
RYN,Financials,1.66427,0.20609,0.588768759,0.928695427
MKC,Consumer Staples,16.67519,0.13887,0.589287925,0.452913353
NVR,--,22.11501,0.18155,0.59028716,0.947205635
NATL,Financials,8.2368,0.28658,0.590355371,0.629936809
HMSY,Health Care,-11.23109,0.41838,0.590395416,0.234289348
FFNW,Financials,32.70337,0.28848,0.590585801,
PDM,Financials,4.98346,0.17015,0.594389751,
SLCT,Financials,14.72589,0.3197,0.595353158,0.563141641
NGD,Materials,-24.64925,0.43761,0.595708662,0.819108618
UBNK,Financials,17.6814,0.1849,0.595976851,0.754050248
SWX,Utilities,12.88062,0.16954,0.596022459,0.685938886
LMT,Industrials,32.08057,0.15,0.596345357,0.88874831
CATM,Information Technology,17.45813,0.26067,0.597437995,
OTCM,Financials,27.1705,,0.598452036,
FMS,Health Care,8.46177,0.18514,0.599007649,0.54597176
CAH,Health Care,21.93354,0.16004,0.600711377,0.713211167
NRCIB,Health Care,61.69175,0.52132,0.600807252,0.756144417
CBOE,Financials,28.13176,0.22687,0.600871303,
DENN,Consumer Discretionary,21.47438,0.22709,0.601070086,1.570654664
LAYN,Industrials,-29.47057,0.39949,0.601091023,1.342078606
DGX,Health Care,8.52482,0.18414,0.601952827,0.529760946
STRZA,Consumer Discretionary,3.96956,0.26846,0.602427068,
RLI,Financials,26.97896,0.19121,0.603666008,0.504045971
JJSF,Consumer Staples,22.83233,0.16167,0.60529113,0.736168697
MORN,Financials,11.04517,0.15526,0.607286542,1.020604281
CKEC,Consumer Discretionary,21.09157,0.50824,0.607909236,2.381845353
TTC,Industrials,23.44531,0.15811,0.608029075,1.178263568
LOPE,Consumer Discretionary,15.09738,0.30293,0.608843856,
JNJ,Health Care,13.97186,0.13254,0.609272953,0.593911297
AVB,Financials,14.08335,0.17985,0.609398261,1.127202731
DNBF,Financials,29.75779,0.20133,0.609921079,0.843403712
OGE,Utilities,5.77591,0.17587,0.61228041,0.717293805
PMT,Financials,9.10448,0.19697,0.612749103,
